         x       f(x)       g(x)
    -4.010      0.763      0.362
    -3.911      0.696      0.762
    -3.812      0.621      0.978
    -3.713      0.541      0.960
    -3.614      0.455      0.711
    -3.515      0.365      0.291
    -3.416      0.271     -0.198
    -3.317      0.174     -0.640
    -3.218      0.076     -0.928
    -3.119     -0.023     -0.994
    -3.020     -0.121     -0.820
    -2.921     -0.219     -0.450
    -2.822     -0.314      0.028
    -2.723     -0.407      0.500
    -2.624     -0.495      0.851
    -2.525     -0.578      0.998
    -2.426     -0.656      0.906
    -2.327     -0.728      0.596
    -2.228     -0.792      0.143
    -2.129     -0.848     -0.345
    -2.030     -0.897     -0.749
    -1.931     -0.936     -0.974
    -1.832     -0.966     -0.965
    -1.733     -0.987     -0.724
    -1.634     -0.998     -0.309
    -1.535     -0.999      0.180
    -1.436     -0.991      0.625
    -1.337     -0.973      0.921
    -1.238     -0.945      0.995
    -1.139     -0.908      0.831
    -1.040     -0.862      0.467
    -0.941     -0.808     -0.009
    -0.842     -0.746     -0.483
    -0.743     -0.676     -0.841
    -0.644     -0.600     -0.997
    -0.545     -0.518     -0.914
    -0.446     -0.431     -0.611
    -0.347     -0.340     -0.161
    -0.248     -0.245      0.327
    -0.149     -0.148      0.737
    -0.050     -0.049      0.970
     0.050      0.049      0.970
     0.149      0.148      0.737
     0.248      0.245      0.327
     0.347      0.340     -0.161
     0.446      0.431     -0.611
     0.545      0.518     -0.914
     0.644      0.600     -0.997
     0.743      0.676     -0.841
     0.842      0.746     -0.483
     0.941      0.808     -0.009
     1.040      0.862      0.467
     1.139      0.908      0.831
     1.238      0.945      0.995
     1.337      0.973      0.921
     1.436      0.991      0.625
     1.535      0.999      0.180
     1.634      0.998     -0.309
     1.733      0.987     -0.724
     1.832      0.966     -0.965
     1.931      0.936     -0.974
     2.030      0.897     -0.749
     2.129      0.848     -0.345
     2.228      0.792      0.143
     2.327      0.728      0.596
     2.426      0.656      0.906
     2.525      0.578      0.998
     2.624      0.495      0.851
     2.723      0.407      0.500
     2.822      0.314      0.028
     2.921      0.219     -0.450
     3.020      0.121     -0.820
     3.119      0.023     -0.994
     3.218     -0.076     -0.928
     3.317     -0.174     -0.640
     3.416     -0.271     -0.198
     3.515     -0.365      0.291
     3.614     -0.455      0.711
     3.713     -0.541      0.960
     3.812     -0.621      0.978
     3.911     -0.696      0.762
     4.010     -0.763      0.362
     4.109     -0.823     -0.124
     4.208     -0.875     -0.580
     4.307     -0.919     -0.898
     4.406     -0.953     -0.999
     4.505     -0.979     -0.861
     4.604     -0.994     -0.516
     4.703     -1.000     -0.047
     4.802     -0.996      0.433
     4.901     -0.982      0.809
         x       f(x)       g(x)
    -5.000      0.544      0.284
    -4.901      0.368      0.187
    -4.802      0.178      0.089
    -4.703     -0.019     -0.009
    -4.604     -0.215     -0.108
    -4.505     -0.403     -0.206
    -4.406     -0.575     -0.302
    -4.307     -0.725     -0.394
    -4.208     -0.846     -0.483
    -4.109     -0.935     -0.568
    -4.010     -0.986     -0.646
    -3.911     -0.999     -0.718
    -3.812     -0.974     -0.784
    -3.713     -0.910     -0.841
    -3.614     -0.810     -0.891
    -3.515     -0.679     -0.931
    -3.416     -0.521     -0.963
    -3.317     -0.343     -0.985
    -3.218     -0.152     -0.997
    -3.119      0.046     -1.000
    -3.020      0.241     -0.993
    -2.921      0.427     -0.976
    -2.822      0.597     -0.949
    -2.723      0.743     -0.914
    -2.624      0.860     -0.869
    -2.525      0.944     -0.816
    -2.426      0.990     -0.755
    -2.327      0.998     -0.686
    -2.228      0.967     -0.611
    -2.129      0.898     -0.529
    -2.030      0.794     -0.443
    -1.931      0.659     -0.352
    -1.832      0.498     -0.258
    -1.733      0.318     -0.161
    -1.634      0.125     -0.063
    -1.535     -0.072      0.036
    -1.436     -0.267      0.135
    -1.337     -0.451      0.232
    -1.238     -0.618      0.327
    -1.139     -0.761      0.419
    -1.040     -0.874      0.507
    -0.941     -0.952      0.589
    -0.842     -0.994      0.666
    -0.743     -0.996      0.737
    -0.644     -0.960      0.800
    -0.545     -0.886      0.855
    -0.446     -0.778      0.902
    -0.347     -0.639      0.941
    -0.248     -0.475      0.970
    -0.149     -0.293      0.989
    -0.050     -0.099      0.999
     0.050      0.099      0.999
     0.149      0.293      0.989
     0.248      0.475      0.970
     0.347      0.639      0.941
     0.446      0.778      0.902
     0.545      0.886      0.855
     0.644      0.960      0.800
     0.743      0.996      0.737
     0.842      0.994      0.666
     0.941      0.952      0.589
     1.040      0.874      0.507
     1.139      0.761      0.419
     1.238      0.618      0.327
     1.337      0.451      0.232
     1.436      0.267      0.135
     1.535      0.072      0.036
     1.634     -0.125     -0.063
     1.733     -0.318     -0.161
     1.832     -0.498     -0.258
     1.931     -0.659     -0.352
     2.030     -0.794     -0.443
     2.129     -0.898     -0.529
     2.228     -0.967     -0.611
     2.327     -0.998     -0.686
     2.426     -0.990     -0.755
     2.525     -0.944     -0.816
     2.624     -0.860     -0.869
     2.723     -0.743     -0.914
     2.822     -0.597     -0.949
     2.921     -0.427     -0.976
     3.020     -0.241     -0.993
     3.119     -0.046     -1.000
     3.218      0.152     -0.997
     3.317      0.343     -0.985
     3.416      0.521     -0.963
     3.515      0.679     -0.931
     3.614      0.810     -0.891
     3.713      0.910     -0.841
     3.812      0.974     -0.784
     3.911      0.999     -0.718
     4.010      0.986     -0.646
     4.109      0.935     -0.568
     4.208      0.846     -0.483
     4.307      0.725     -0.394
     4.406      0.575     -0.302
     4.505      0.403     -0.206
     4.604      0.215     -0.108
     4.703      0.019     -0.009
     4.802     -0.178      0.089
     4.901     -0.368      0.187
         x       f(x)       g(x)
    -5.000      0.544     -0.839
    -4.901      0.368     -0.930
    -4.802      0.178     -0.984
    -4.703     -0.019     -1.000
    -4.604     -0.215     -0.977
    -4.505     -0.403     -0.915
    -4.406     -0.575     -0.818
    -4.307     -0.725     -0.689
    -4.208     -0.846     -0.533
    -4.109     -0.935     -0.356
    -4.010     -0.986     -0.165
    -3.911     -0.999      0.032
    -3.812     -0.974      0.228
    -3.713     -0.910      0.415
    -3.614     -0.810      0.586
    -3.515     -0.679      0.734
    -3.416     -0.521      0.853
    -3.317     -0.343      0.939
    -3.218     -0.152      0.988
    -3.119      0.046      0.999
    -3.020      0.241      0.970
    -2.921      0.427      0.904
    -2.822      0.597      0.802
    -2.723      0.743      0.669
    -2.624      0.860      0.510
    -2.525      0.944      0.331
    -2.426      0.990      0.139
    -2.327      0.998     -0.059
    -2.228      0.967     -0.254
    -2.129      0.898     -0.439
    -2.030      0.794     -0.608
    -1.931      0.659     -0.752
    -1.832      0.498     -0.867
    -1.733      0.318     -0.948
    -1.634      0.125     -0.992
    -1.535     -0.072     -0.997
    -1.436     -0.267     -0.964
    -1.337     -0.451     -0.892
    -1.238     -0.618     -0.786
    -1.139     -0.761     -0.649
    -1.040     -0.874     -0.487
    -0.941     -0.952     -0.305
    -0.842     -0.994     -0.112
    -0.743     -0.996      0.086
    -0.644     -0.960      0.280
    -0.545     -0.886      0.463
    -0.446     -0.778      0.629
    -0.347     -0.639      0.769
    -0.248     -0.475      0.880
    -0.149     -0.293      0.956
    -0.050     -0.099      0.995
     0.050      0.099      0.995
     0.149      0.293      0.956
     0.248      0.475      0.880
     0.347      0.639      0.769
     0.446      0.778      0.629
     0.545      0.886      0.463
     0.644      0.960      0.280
     0.743      0.996      0.086
     0.842      0.994     -0.112
     0.941      0.952     -0.305
     1.040      0.874     -0.487
     1.139      0.761     -0.649
     1.238      0.618     -0.786
     1.337      0.451     -0.892
     1.436      0.267     -0.964
     1.535      0.072     -0.997
     1.634     -0.125     -0.992
     1.733     -0.318     -0.948
     1.832     -0.498     -0.867
     1.931     -0.659     -0.752
     2.030     -0.794     -0.608
     2.129     -0.898     -0.439
     2.228     -0.967     -0.254
     2.327     -0.998     -0.059
     2.426     -0.990      0.139
     2.525     -0.944      0.331
     2.624     -0.860      0.510
     2.723     -0.743      0.669
     2.822     -0.597      0.802
     2.921     -0.427      0.904
     3.020     -0.241      0.970
     3.119     -0.046      0.999
     3.218      0.152      0.988
     3.317      0.343      0.939
     3.416      0.521      0.853
     3.515      0.679      0.734
     3.614      0.810      0.586
     3.713      0.910      0.415
     3.812      0.974      0.228
     3.911      0.999      0.032
     4.010      0.986     -0.165
     4.109      0.935     -0.356
     4.208      0.846     -0.533
     4.307      0.725     -0.689
     4.406      0.575     -0.818
     4.505      0.403     -0.915
     4.604      0.215     -0.977
     4.703      0.019     -1.000
     4.802     -0.178     -0.984
     4.901     -0.368     -0.930
         x       f(x)       g(x)
    -5.000      0.544     -0.760
    -4.901      0.368     -0.536
    -4.802      0.178     -0.266
    -4.703     -0.019      0.028
    -4.604     -0.215      0.320
    -4.505     -0.403      0.583
    -4.406     -0.575      0.795
    -4.307     -0.725      0.938
    -4.208     -0.846      0.998
    -4.109     -0.935      0.971
    -4.010     -0.986      0.859
    -3.911     -0.999      0.672
    -3.812     -0.974      0.426
    -3.713     -0.910      0.143
    -3.614     -0.810     -0.153
    -3.515     -0.679     -0.436
    -3.416     -0.521     -0.680
    -3.317     -0.343     -0.865
    -3.218     -0.152     -0.974
    -3.119      0.046     -0.998
    -3.020      0.241     -0.934
    -2.921      0.427     -0.789
    -2.822      0.597     -0.574
    -2.723      0.743     -0.309
    -2.624      0.860     -0.017
    -2.525      0.944      0.276
    -2.426      0.990      0.545
    -2.327      0.998      0.767
    -2.228      0.967      0.921
    -2.129      0.898      0.995
    -2.030      0.794      0.981
    -1.931      0.659      0.882
    -1.832      0.498      0.705
    -1.733      0.318      0.467
    -1.634      0.125      0.187
    -1.535     -0.072     -0.108
    -1.436     -0.267     -0.394
    -1.337     -0.451     -0.646
    -1.238     -0.618     -0.841
    -1.139     -0.761     -0.963
    -1.040     -0.874     -1.000
    -0.941     -0.952     -0.949
    -0.842     -0.994     -0.816
    -0.743     -0.996     -0.611
    -0.644     -0.960     -0.352
    -0.545     -0.886     -0.063
    -0.446     -0.778      0.232
    -0.347     -0.639      0.507
    -0.248     -0.475      0.737
    -0.149     -0.293      0.902
    -0.050     -0.099      0.989
     0.050      0.099      0.989
     0.149      0.293      0.902
     0.248      0.475      0.737
     0.347      0.639      0.507
     0.446      0.778      0.232
     0.545      0.886     -0.063
     0.644      0.960     -0.352
     0.743      0.996     -0.611
     0.842      0.994     -0.816
     0.941      0.952     -0.949
     1.040      0.874     -1.000
     1.139      0.761     -0.963
     1.238      0.618     -0.841
     1.337      0.451     -0.646
     1.436      0.267     -0.394
     1.535      0.072     -0.108
     1.634     -0.125      0.187
     1.733     -0.318      0.467
     1.832     -0.498      0.705
     1.931     -0.659      0.882
     2.030     -0.794      0.981
     2.129     -0.898      0.995
     2.228     -0.967      0.921
     2.327     -0.998      0.767
     2.426     -0.990      0.545
     2.525     -0.944      0.276
     2.624     -0.860     -0.017
     2.723     -0.743     -0.309
     2.822     -0.597     -0.574
     2.921     -0.427     -0.789
     3.020     -0.241     -0.934
     3.119     -0.046     -0.998
     3.218      0.152     -0.974
     3.317      0.343     -0.865
     3.416      0.521     -0.680
     3.515      0.679     -0.436
     3.614      0.810     -0.153
     3.713      0.910      0.143
     3.812      0.974      0.426
     3.911      0.999      0.672
     4.010      0.986      0.859
     4.109      0.935      0.971
     4.208      0.846      0.998
     4.307      0.725      0.938
     4.406      0.575      0.795
     4.505      0.403      0.583
     4.604      0.215      0.320
     4.703      0.019      0.028
     4.802     -0.178     -0.266
     4.901     -0.368     -0.536
         x       f(x)       g(x)
    -5.000      0.544      0.408
    -4.901      0.368      0.729
    -4.802      0.178      0.936
    -4.703     -0.019      0.999
    -4.604     -0.215      0.907
    -4.505     -0.403      0.675
    -4.406     -0.575      0.338
    -4.307     -0.725     -0.051
    -4.208     -0.846     -0.432
    -4.109     -0.935     -0.747
    -4.010     -0.986     -0.946
    -3.911     -0.999     -0.998
    -3.812     -0.974     -0.896
    -3.713     -0.910     -0.655
    -3.614     -0.810     -0.313
    -3.515     -0.679      0.078
    -3.416     -0.521      0.456
    -3.317     -0.343      0.764
    -3.218     -0.152      0.954
    -3.119      0.046      0.996
    -3.020      0.241      0.884
    -2.921      0.427      0.635
    -2.822      0.597      0.287
    -2.723      0.743     -0.104
    -2.624      0.860     -0.480
    -2.525      0.944     -0.781
    -2.426      0.990     -0.962
    -2.327      0.998     -0.993
    -2.228      0.967     -0.871
    -2.129      0.898     -0.614
    -2.030      0.794     -0.262
    -1.931      0.659      0.131
    -1.832      0.498      0.503
    -1.733      0.318      0.798
    -1.634      0.125      0.969
    -1.535     -0.072      0.990
    -1.436     -0.267      0.857
    -1.337     -0.451      0.592
    -1.238     -0.618      0.236
