         x       f(x)       g(x)
     3.614      0.950     -0.313
     3.713      0.756     -0.655
     3.812      0.444     -0.896
     3.911      0.064     -0.998
     4.010     -0.326     -0.946
     4.109     -0.665     -0.747
     4.208     -0.902     -0.432
     4.307     -0.999     -0.051
     4.406     -0.941      0.338
     4.505     -0.738      0.675
     4.604     -0.420      0.907
     4.703     -0.038      0.999
     4.802      0.351      0.936
     4.901      0.685      0.729
         x       f(x)       g(x)
    -5.000     -0.913      0.991
    -4.901     -0.685      0.809
    -4.802     -0.351      0.433
    -4.703      0.038     -0.047
    -4.604      0.420     -0.516
    -4.505      0.738     -0.861
    -4.406      0.941     -0.999
    -4.307      0.999     -0.898
    -4.208      0.902     -0.580
    -4.109      0.665     -0.124
    -4.010      0.326      0.362
    -3.911     -0.064      0.762
    -3.812     -0.444      0.978
    -3.713     -0.756      0.960
    -3.614     -0.950      0.711
    -3.515     -0.997      0.291
    -3.416     -0.890     -0.198
    -3.317     -0.645     -0.640
    -3.218     -0.300     -0.928
    -3.119      0.091     -0.994
    -3.020      0.468     -0.820
    -2.921      0.773     -0.450
    -2.822      0.958      0.028
    -2.723      0.995      0.500
    -2.624      0.877      0.851
    -2.525      0.624      0.998
    -2.426      0.275      0.906
    -2.327     -0.118      0.596
    -2.228     -0.492      0.143
    -2.129     -0.789     -0.345
    -2.030     -0.965     -0.749
    -1.931     -0.991     -0.974
    -1.832     -0.864     -0.965
    -1.733     -0.603     -0.724
    -1.634     -0.249     -0.309
    -1.535      0.144      0.180
    -1.436      0.515      0.625
    -1.337      0.806      0.921
    -1.238      0.972      0.995
    -1.139      0.988      0.831
    -1.040      0.850      0.467
    -0.941      0.582     -0.009
    -0.842      0.223     -0.483
    -0.743     -0.170     -0.841
    -0.644     -0.537     -0.997
    -0.545     -0.821     -0.914
    -0.446     -0.978     -0.611
    -0.347     -0.983     -0.161
    -0.248     -0.836      0.327
    -0.149     -0.560      0.737
    -0.050     -0.197      0.970
     0.050      0.197      0.970
     0.149      0.560      0.737
     0.248      0.836      0.327
     0.347      0.983     -0.161
     0.446      0.978     -0.611
     0.545      0.821     -0.914
     0.644      0.537     -0.997
     0.743      0.170     -0.841
     0.842     -0.223     -0.483
     0.941     -0.582     -0.009
     1.040     -0.850      0.467
     1.139     -0.988      0.831
     1.238     -0.972      0.995
     1.337     -0.806      0.921
     1.436     -0.515      0.625
     1.535     -0.144      0.180
     1.634      0.249     -0.309
     1.733      0.603     -0.724
     1.832      0.864     -0.965
     1.931      0.991     -0.974
     2.030      0.965     -0.749
     2.129      0.789     -0.345
     2.228      0.492      0.143
     2.327      0.118      0.596
     2.426     -0.275      0.906
     2.525     -0.624      0.998
     2.624     -0.877      0.851
     2.723     -0.995      0.500
     2.822     -0.958      0.028
     2.921     -0.773     -0.450
     3.020     -0.468     -0.820
     3.119     -0.091     -0.994
     3.218      0.300     -0.928
     3.317      0.645     -0.640
     3.416      0.890     -0.198
     3.515      0.997      0.291
     3.614      0.950      0.711
     3.713      0.756      0.960
     3.812      0.444      0.978
     3.911      0.064      0.762
     4.010     -0.326      0.362
     4.109     -0.665     -0.124
     4.208     -0.902     -0.580
     4.307     -0.999     -0.898
     4.406     -0.941     -0.999
     4.505     -0.738     -0.861
     4.604     -0.420     -0.516
     4.703     -0.038     -0.047
     4.802      0.351      0.433
     4.901      0.685      0.809
         x       f(x)       g(x)
    -5.000      0.132      0.284
    -4.901      0.587      0.187
    -4.802      0.901      0.089
    -4.703      0.999     -0.009
    -4.604      0.857     -0.108
    -4.505      0.509     -0.206
    -4.406      0.039     -0.302
    -4.307     -0.441     -0.394
    -4.208     -0.814     -0.483
    -4.109     -0.992     -0.568
    -4.010     -0.932     -0.646
    -3.911     -0.648     -0.718
    -3.812     -0.208     -0.784
    -3.713      0.281     -0.841
    -3.614      0.703     -0.891
    -3.515      0.957     -0.931
    -3.416      0.980     -0.963
    -3.317      0.768     -0.985
    -3.218      0.372     -0.997
    -3.119     -0.114     -1.000
    -3.020     -0.572     -0.993
    -2.921     -0.893     -0.976
    -2.822     -1.000     -0.949
    -2.723     -0.866     -0.914
    -2.624     -0.525     -0.869
    -2.525     -0.057     -0.816
    -2.426      0.424     -0.755
    -2.327      0.803     -0.686
    -2.228      0.990     -0.611
    -2.129      0.939     -0.529
    -2.030      0.662     -0.443
    -1.931      0.227     -0.352
    -1.832     -0.263     -0.258
    -1.733     -0.690     -0.161
    -1.634     -0.951     -0.063
    -1.535     -0.984      0.036
    -1.436     -0.780      0.135
    -1.337     -0.389      0.232
    -1.238      0.095      0.327
    -1.139      0.556      0.419
    -1.040      0.884      0.507
    -0.941      1.000      0.589
    -0.842      0.875      0.666
    -0.743      0.541      0.737
    -0.644      0.076      0.800
    -0.545     -0.407      0.855
    -0.446     -0.792      0.902
    -0.347     -0.987      0.941
    -0.248     -0.945      0.970
    -0.149     -0.676      0.989
    -0.050     -0.245      0.999
     0.050      0.245      0.999
     0.149      0.676      0.989
     0.248      0.945      0.970
     0.347      0.987      0.941
     0.446      0.792      0.902
     0.545      0.407      0.855
     0.644     -0.076      0.800
     0.743     -0.541      0.737
     0.842     -0.875      0.666
     0.941     -1.000      0.589
     1.040     -0.884      0.507
     1.139     -0.556      0.419
     1.238     -0.095      0.327
     1.337      0.389      0.232
     1.436      0.780      0.135
     1.535      0.984      0.036
     1.634      0.951     -0.063
     1.733      0.690     -0.161
     1.832      0.263     -0.258
     1.931     -0.227     -0.352
     2.030     -0.662     -0.443
     2.129     -0.939     -0.529
     2.228     -0.990     -0.611
     2.327     -0.803     -0.686
     2.426     -0.424     -0.755
     2.525      0.057     -0.816
     2.624      0.525     -0.869
     2.723      0.866     -0.914
     2.822      1.000     -0.949
     2.921      0.893     -0.976
     3.020      0.572     -0.993
     3.119      0.114     -1.000
     3.218     -0.372     -0.997
     3.317     -0.768     -0.985
     3.416     -0.980     -0.963
     3.515     -0.957     -0.931
     3.614     -0.703     -0.891
     3.713     -0.281     -0.841
     3.812      0.208     -0.784
     3.911      0.648     -0.718
     4.010      0.932     -0.646
     4.109      0.992     -0.568
     4.208      0.814     -0.483
     4.307      0.441     -0.394
     4.406     -0.039     -0.302
     4.505     -0.509     -0.206
     4.604     -0.857     -0.108
     4.703     -0.999     -0.009
     4.802     -0.901      0.089
     4.901     -0.587      0.187
         x       f(x)       g(x)
    -5.000      0.132     -0.839
    -4.901      0.587     -0.930
    -4.802      0.901     -0.984
    -4.703      0.999     -1.000
    -4.604      0.857     -0.977
    -4.505      0.509     -0.915
    -4.406      0.039     -0.818
    -4.307     -0.441     -0.689
    -4.208     -0.814     -0.533
    -4.109     -0.992     -0.356
    -4.010     -0.932     -0.165
    -3.911     -0.648      0.032
    -3.812     -0.208      0.228
    -3.713      0.281      0.415
    -3.614      0.703      0.586
    -3.515      0.957      0.734
    -3.416      0.980      0.853
    -3.317      0.768      0.939
    -3.218      0.372      0.988
    -3.119     -0.114      0.999
    -3.020     -0.572      0.970
    -2.921     -0.893      0.904
    -2.822     -1.000      0.802
    -2.723     -0.866      0.669
    -2.624     -0.525      0.510
    -2.525     -0.057      0.331
    -2.426      0.424      0.139
    -2.327      0.803     -0.059
    -2.228      0.990     -0.254
    -2.129      0.939     -0.439
    -2.030      0.662     -0.608
    -1.931      0.227     -0.752
    -1.832     -0.263     -0.867
    -1.733     -0.690     -0.948
    -1.634     -0.951     -0.992
    -1.535     -0.984     -0.997
    -1.436     -0.780     -0.964
    -1.337     -0.389     -0.892
    -1.238      0.095     -0.786
    -1.139      0.556     -0.649
    -1.040      0.884     -0.487
    -0.941      1.000     -0.305
    -0.842      0.875     -0.112
    -0.743      0.541      0.086
    -0.644      0.076      0.280
    -0.545     -0.407      0.463
    -0.446     -0.792      0.629
    -0.347     -0.987      0.769
    -0.248     -0.945      0.880
    -0.149     -0.676      0.956
    -0.050     -0.245      0.995
     0.050      0.245      0.995
     0.149      0.676      0.956
     0.248      0.945      0.880
     0.347      0.987      0.769
     0.446      0.792      0.629
     0.545      0.407      0.463
     0.644     -0.076      0.280
     0.743     -0.541      0.086
     0.842     -0.875     -0.112
     0.941     -1.000     -0.305
     1.040     -0.884     -0.487
     1.139     -0.556     -0.649
     1.238     -0.095     -0.786
     1.337      0.389     -0.892
     1.436      0.780     -0.964
     1.535      0.984     -0.997
     1.634      0.951     -0.992
     1.733      0.690     -0.948
     1.832      0.263     -0.867
     1.931     -0.227     -0.752
     2.030     -0.662     -0.608
     2.129     -0.939     -0.439
     2.228     -0.990     -0.254
     2.327     -0.803     -0.059
     2.426     -0.424      0.139
     2.525      0.057      0.331
     2.624      0.525      0.510
     2.723      0.866      0.669
     2.822      1.000      0.802
     2.921      0.893      0.904
     3.020      0.572      0.970
     3.119      0.114      0.999
     3.218     -0.372      0.988
     3.317     -0.768      0.939
     3.416     -0.980      0.853
     3.515     -0.957      0.734
     3.614     -0.703      0.586
     3.713     -0.281      0.415
     3.812      0.208      0.228
     3.911      0.648      0.032
     4.010      0.932     -0.165
     4.109      0.992     -0.356
     4.208      0.814     -0.533
     4.307      0.441     -0.689
     4.406     -0.039     -0.818
     4.505     -0.509     -0.915
     4.604     -0.857     -0.977
     4.703     -0.999     -1.000
     4.802     -0.901     -0.984
     4.901     -0.587     -0.930
         x       f(x)       g(x)
    -5.000      0.132     -0.760
    -4.901      0.587     -0.536
    -4.802      0.901     -0.266
    -4.703      0.999      0.028
    -4.604      0.857      0.320
    -4.505      0.509      0.583
    -4.406      0.039      0.795
    -4.307     -0.441      0.938
    -4.208     -0.814      0.998
    -4.109     -0.992      0.971
    -4.010     -0.932      0.859
    -3.911     -0.648      0.672
    -3.812     -0.208      0.426
    -3.713      0.281      0.143
    -3.614      0.703     -0.153
    -3.515      0.957     -0.436
    -3.416      0.980     -0.680
    -3.317      0.768     -0.865
    -3.218      0.372     -0.974
    -3.119     -0.114     -0.998
    -3.020     -0.572     -0.934
    -2.921     -0.893     -0.789
    -2.822     -1.000     -0.574
    -2.723     -0.866     -0.309
    -2.624     -0.525     -0.017
    -2.525     -0.057      0.276
    -2.426      0.424      0.545
    -2.327      0.803      0.767
    -2.228      0.990      0.921
    -2.129      0.939      0.995
    -2.030      0.662      0.981
    -1.931      0.227      0.882
    -1.832     -0.263      0.705
    -1.733     -0.690      0.467
    -1.634     -0.951      0.187
    -1.535     -0.984     -0.108
    -1.436     -0.780     -0.394
    -1.337     -0.389     -0.646
    -1.238      0.095     -0.841
    -1.139      0.556     -0.963
    -1.040      0.884     -1.000
    -0.941      1.000     -0.949
    -0.842      0.875     -0.816
    -0.743      0.541     -0.611
    -0.644      0.076     -0.352
    -0.545     -0.407     -0.063
    -0.446     -0.792      0.232
    -0.347     -0.987      0.507
    -0.248     -0.945      0.737
    -0.149     -0.676      0.902
    -0.050     -0.245      0.989
     0.050      0.245      0.989
     0.149      0.676      0.902
     0.248      0.945      0.737
     0.347      0.987      0.507
     0.446      0.792      0.232
     0.545      0.407     -0.063
     0.644     -0.076     -0.352
     0.743     -0.541     -0.611
     0.842     -0.875     -0.816
     0.941     -1.000     -0.949
     1.040     -0.884     -1.000
     1.139     -0.556     -0.963
     1.238     -0.095     -0.841
     1.337      0.389     -0.646
     1.436      0.780     -0.394
     1.535      0.984     -0.108
     1.634      0.951      0.187
     1.733      0.690      0.467
     1.832      0.263      0.705
     1.931     -0.227      0.882
     2.030     -0.662      0.981
     2.129     -0.939      0.995
     2.228     -0.990      0.921
     2.327     -0.803      0.767
     2.426     -0.424      0.545
     2.525      0.057      0.276
     2.624      0.525     -0.017
     2.723      0.866     -0.309
     2.822      1.000     -0.574
     2.921      0.893     -0.789
     3.020      0.572     -0.934
     3.119      0.114     -0.998
     3.218     -0.372     -0.974
     3.317     -0.768     -0.865
     3.416     -0.980     -0.680
     3.515     -0.957     -0.436
     3.614     -0.703     -0.153
     3.713     -0.281      0.143
     3.812      0.208      0.426
     3.911      0.648      0.672
     4.010      0.932      0.859
     4.109      0.992      0.971
     4.208      0.814      0.998
     4.307      0.441      0.938
     4.406     -0.039      0.795
     4.505     -0.509      0.583
     4.604     -0.857      0.320
     4.703     -0.999      0.028
     4.802     -0.901     -0.266
     4.901     -0.587     -0.536
         x       f(x)       g(x)
    -5.000      0.132      0.408
    -4.901      0.587      0.729
    -4.802      0.901      0.936
    -4.703      0.999      0.999
    -4.604      0.857      0.907
    -4.505      0.509      0.675
    -4.406      0.039      0.338
    -4.307     -0.441     -0.051
    -4.208     -0.814     -0.432
    -4.109     -0.992     -0.747
    -4.010     -0.932     -0.946
    -3.911     -0.648     -0.998
    -3.812     -0.208     -0.896
    -3.713      0.281     -0.655
    -3.614      0.703     -0.313
    -3.515      0.957      0.078
    -3.416      0.980      0.456
    -3.317      0.768      0.764
    -3.218      0.372      0.954
    -3.119     -0.114      0.996
    -3.020     -0.572      0.884
    -2.921     -0.893      0.635
    -2.822     -1.000      0.287
    -2.723     -0.866     -0.104
    -2.624     -0.525     -0.480
    -2.525     -0.057     -0.781
    -2.426      0.424     -0.962
    -2.327      0.803     -0.993
    -2.228      0.990     -0.871
    -2.129      0.939     -0.614
    -2.030      0.662     -0.262
    -1.931      0.227      0.131
    -1.832     -0.263      0.503
    -1.733     -0.690      0.798
    -1.634     -0.951      0.969
    -1.535     -0.984      0.990
    -1.436     -0.780      0.857
    -1.337     -0.389      0.592
    -1.238      0.095      0.236
    -1.139      0.556     -0.157
    -1.040      0.884     -0.526
    -0.941      1.000     -0.813
    -0.842      0.875     -0.975
    -0.743      0.541     -0.985
    -0.644      0.076     -0.843
    -0.545     -0.407     -0.571
    -0.446     -0.792     -0.210
    -0.347     -0.987      0.184
    -0.248     -0.945      0.549
    -0.149     -0.676      0.829
    -0.050     -0.245      0.980
     0.050      0.245      0.980
     0.149      0.676      0.829
     0.248      0.945      0.549
     0.347      0.987      0.184
     0.446      0.792     -0.210
     0.545      0.407     -0.571
     0.644     -0.076     -0.843
     0.743     -0.541     -0.985
     0.842     -0.875     -0.975
     0.941     -1.000     -0.813
     1.040     -0.884     -0.526
     1.139     -0.556     -0.157
     1.238     -0.095      0.236
     1.337      0.389      0.592
     1.436      0.780      0.857
     1.535      0.984      0.990
     1.634      0.951      0.969
     1.733      0.690      0.798
     1.832      0.263      0.503
     1.931     -0.227      0.131
     2.030     -0.662     -0.262
     2.129     -0.939     -0.614
     2.228     -0.990     -0.871
     2.327     -0.803     -0.993
     2.426     -0.424     -0.962
     2.525      0.057     -0.781
     2.624      0.525     -0.480
     2.723      0.866     -0.104
     2.822      1.000      0.287
     2.921      0.893      0.635
     3.020      0.572      0.884
     3.119      0.114      0.996
     3.218     -0.372      0.954
     3.317     -0.768      0.764
     3.416     -0.980      0.456
     3.515     -0.957      0.078
     3.614     -0.703     -0.313
     3.713     -0.281     -0.655
     3.812      0.208     -0.896
     3.911      0.648     -0.998
     4.010      0.932     -0.946
     4.109      0.992     -0.747
     4.208      0.814     -0.432
     4.307      0.441     -0.051
     4.406     -0.039      0.338
     4.505     -0.509      0.675
     4.604     -0.857      0.907
     4.703     -0.999      0.999
     4.802     -0.901      0.936
     4.901     -0.587      0.729
         x       f(x)       g(x)
    -5.000      0.132      0.991
    -4.901      0.587      0.809
    -4.802      0.901      0.433
    -4.703      0.999     -0.047
    -4.604      0.857     -0.516
    -4.505      0.509     -0.861
    -4.406      0.039     -0.999
    -4.307     -0.441     -0.898
    -4.208     -0.814     -0.580
    -4.109     -0.992     -0.124
    -4.010     -0.932      0.362
    -3.911     -0.648      0.762
    -3.812     -0.208      0.978
    -3.713      0.281      0.960
    -3.614      0.703      0.711
    -3.515      0.957      0.291
    -3.416      0.980     -0.198
    -3.317      0.768     -0.640
    -3.218      0.372     -0.928
    -3.119     -0.114     -0.994
    -3.020     -0.572     -0.820
    -2.921     -0.893     -0.450
    -2.822     -1.000      0.028
    -2.723     -0.866      0.500
    -2.624     -0.525      0.851
    -2.525     -0.057      0.998
    -2.426      0.424      0.906
    -2.327      0.803      0.596
    -2.228      0.990      0.143
    -2.129      0.939     -0.345
    -2.030      0.662     -0.749
    -1.931      0.227     -0.974
    -1.832     -0.263     -0.965
    -1.733     -0.690     -0.724
    -1.634     -0.951     -0.309
    -1.535     -0.984      0.180
    -1.436     -0.780      0.625
    -1.337     -0.389      0.921
    -1.238      0.095      0.995
    -1.139      0.556      0.831
    -1.040      0.884      0.467
    -0.941      1.000     -0.009
    -0.842      0.875     -0.483
    -0.743      0.541     -0.841
    -0.644      0.076     -0.997
    -0.545     -0.407     -0.914
    -0.446     -0.792     -0.611
    -0.347     -0.987     -0.161
    -0.248     -0.945      0.327
    -0.149     -0.676      0.737
    -0.050     -0.245      0.970
     0.050      0.245      0.970
     0.149      0.676      0.737
     0.248      0.945      0.327
     0.347      0.987     -0.161
     0.446      0.792     -0.611
     0.545      0.407     -0.914
     0.644     -0.076     -0.997
     0.743     -0.541     -0.841
     0.842     -0.875     -0.483
     0.941     -1.000     -0.009
     1.040     -0.884      0.467
     1.139     -0.556      0.831
     1.238     -0.095      0.995
     1.337      0.389      0.921
     1.436      0.780      0.625
     1.535      0.984      0.180
     1.634      0.951     -0.309
     1.733      0.690     -0.724
     1.832      0.263     -0.965
     1.931     -0.227     -0.974
     2.030     -0.662     -0.749
     2.129     -0.939     -0.345
     2.228     -0.990      0.143
     2.327     -0.803      0.596
     2.426     -0.424      0.906
     2.525      0.057      0.998
     2.624      0.525      0.851
     2.723      0.866      0.500
     2.822      1.000      0.028
     2.921      0.893     -0.450
     3.020      0.572     -0.820
     3.119      0.114     -0.994
     3.218     -0.372     -0.928
     3.317     -0.768     -0.640
     3.416     -0.980     -0.198
     3.515     -0.957      0.291
     3.614     -0.703      0.711
     3.713     -0.281      0.960
     3.812      0.208      0.978
     3.911      0.648      0.762
     4.010      0.932      0.362
     4.109      0.992     -0.124
     4.208      0.814     -0.580
     4.307      0.441     -0.898
     4.406     -0.039     -0.999
     4.505     -0.509     -0.861
     4.604     -0.857     -0.516
     4.703     -0.999     -0.047
     4.802     -0.901      0.433
     4.901     -0.587      0.809
